Date,market-price,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,trade-volume,blocks-size,avg-block-size,transaction-fees,transaction-fees-usd,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,output-volume,estimated-transaction-volume,estimated-transaction-volume-usd,total-bitcoins,market-cap
2013-10-26,186.85,262.346153846154,6.5,3867.20191245522,390928787.638086,1091202.3510992,6122147.724,11925.892747,0.126904247252747,35.34328044,7472.3510991995,2.63862974319371,17.8932564459399,60631.0,47747.0,26020892.0,47747.0,686765.469394607,221326.66359629,41354887.0929668,11904074.56647398,2231568862.1290927
2013-10-27,179.56,244.083798882682,7.48333333333333,3439.6720527868,390928787.638086,863920.64739092,1734472.3892,11949.064863,0.116610016759776,57.75029853,15499.64739092,4.00842599457843,18.9211469237373,54721.0,43691.0,26068756.0,43691.0,509803.648884956,120030.16055448,21552615.6291624,11908638.433908045,2144550637.720546
2013-10-28,194.06,292.022857142857,6.58333333333333,3478.53840366575,390928787.638086,893928.569808049,1959107.5022,11969.888829,0.135659851428571,31.18348979,6104.069808049,3.56288600685299,17.2456558272991,68820.0,51104.0,26112403.0,51104.0,645713.467099032,129289.97841328,25090013.2108811,11913042.549951268,2299220091.4589424
2013-10-29,206.9,312.0625,7.23333333333333,3051.00854399733,390928787.638086,876349.157273103,2077516.004,11993.674205,0.14567588125,34.455093,7369.157273103,1.45724743178865,16.6552474917442,70371.0,49930.0,26163601.0,49930.0,1686428.34703915,290658.73834968,60137292.9645488,11917253.09846072,2453498700.284103
2013-10-30,216.0,248.441025641026,5.68333333333333,3808.9023861368,390928787.638086,1384202.23040448,1933511.04,12017.275891,0.124644825641026,29.72252695,7202.23040448001,3.33866490666818,24.093194847951,78591.0,48446.0,26214060.0,48446.0,717093.160091758,191943.30184143,41459753.1977489,11921668.853021977,2567630873.294414
2013-10-31,206.01,275.739336492891,5.7,4061.53366684995,390928787.638086,1268518.87527203,2592701.7732,12041.369835,0.135337587677725,29.97871915,6707.6252720316,3.75930592632378,19.6742799688571,79243.0,58181.0,26262200.0,58181.0,685268.252984687,163795.12143566,33743432.9669603,11926742.524200335,2464548608.487216
2013-11-01,203.54,218.129807692308,6.45,3692.30333349996,390928787.638086,1096101.38646063,2792462.9592,12069.76464,0.106324951923077,35.00360841,7162.3864606346,3.533983445362,23.841248210128,71947.0,45371.0,26320015.0,45371.0,636845.853219914,152382.97430503,31016030.5900458,11931989.019308941,2430433745.318039
2013-11-02,203.0,193.965346534653,5.75,4216.99907036574,390928787.638086,1080761.35293217,1007872.67,12091.881031,0.105669341584158,23.53096079,4861.35293217001,4.25174923624186,26.4756216881549,65176.0,39181.0,26365336.0,39181.0,649240.364890082,125217.81637564,25419216.7242549,11937097.112944162,2423639644.28934
2013-11-03,204.86,187.223958333333,6.08333333333333,3808.9023861368,390928787.638086,1073746.48030223,1326902.8032,12113.420554,0.104035869791667,40.87943337,8474.4803022316,3.78425863277042,29.3269188622137,65338.0,35947.0,26404958.0,35947.0,593816.363496973,138504.465146,28374024.7298096,11942054.378342247,2444964771.3395724
2013-11-04,209.8,233.451282051282,6.13333333333333,3886.63508789469,390928787.638086,1170149.90952589,2326086.168,12133.256855,0.120132425641026,51.82985587,11004.909525892,1.80042188300712,24.4193307357393,83348.0,45523.0,26440582.0,45523.0,974062.714604447,309785.96406662,64993095.2611769,11946878.378378373,2502468183.907656
